name,Landgrant.tf,Public.tf,AAU.tf,entry_term,UGDS,ADM_RATE,C150_4,PCTPELL,n.pell,TUITIONFEE_IN,TUITIONFEE_OUT,TUITFTE,BOOKSUPPLY,ROOMBOARD_ON,OTHEREXPENSE_ON,OTHEREXPENSE_FAM,CoA.inState,CoA.outState,otherCosts.tot,fte.tot,fte.in.rat,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_WHITENH,UGDS_BLACKNH,UGDS_API,UGDS_AIANOLD,UGDS_HISPOLD,UGDS_MEN,UGDS_WOMEN
UCLA,False,True,True,1996.0,23912.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0266,0.0269,0.3305,0.0601,0.377,0.0097,0.1691,0.4806,0.5194
USoCal,False,False,True,1996.0,14586.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0967,0.0103,0.4454,0.0628,0.2345,0.0062,0.1441,0.5204,0.4796
Illinois,True,True,True,1996.0,26311.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0103,0.0108,0.7228,0.0723,0.1279,0.0022,0.0536,0.5419,0.4581
Northwestern,False,False,True,1996.0,7645.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0294,0.0343,0.6708,0.0574,0.1771,0.0018,0.0292,0.4872,0.5128
Indiana,False,True,True,1996.0,25451.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.023,0.0095,0.8773,0.0383,0.0306,0.0023,0.0189,0.4552,0.5448
Iowa,False,True,True,1996.0,19188.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0215,0.0448,0.8486,0.0223,0.0391,0.0035,0.0202,0.4596,0.5404
Maryland,True,True,True,1996.0,23541.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0319,0.0219,0.614,0.1409,0.1435,0.0023,0.0456,0.5171,0.4829
Michigan,False,True,True,1996.0,23590.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0388,0.0374,0.6733,0.0881,0.1115,0.007,0.044,0.5046,0.4954
MSU,True,True,True,1996.0,32050.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0236,0.0045,0.8245,0.0813,0.039,0.0055,0.0217,0.4757,0.5243
Minnesota,True,True,True,1996.0,37087.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0164,0.0757,0.7679,0.0352,0.0811,0.0061,0.0175,0.4697,0.5303
Nebraska,True,True,False,1996.0,18851.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0284,0.0347,0.883,0.0181,0.0176,0.0034,0.0147,0.5368,0.4632
Rutgers,True,True,True,1996.0,25157.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0189,0.0489,0.5918,0.0832,0.1712,0.0033,0.0828,0.4666,0.5334
Ohio State,True,True,True,1996.0,35314.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0415,0.0118,0.8016,0.0728,0.0508,0.0032,0.0183,0.5258,0.4742
Oregon,False,True,True,1996.0,13690.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0857,0.0459,0.7403,0.0147,0.0711,0.011,0.0313,0.4749,0.5251
Penn State,True,True,True,1996.0,31649.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0082,0.0,0.8851,0.03,0.0516,0.0013,0.0238,0.5485,0.4515
Washington,False,True,True,1996.0,25017.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0214,0.0,0.6707,0.0339,0.2199,0.016,0.0381,0.494,0.506
Wisconsin,True,True,True,1996.0,26644.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0402,0.0,0.8699,0.0191,0.0446,0.005,0.0213,0.4777,0.5223
Purdue,True,True,True,1996.0,29269.0,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.031,0.0,0.8726,0.0354,0.0359,0.0047,0.0205,0.5771,0.4229
UCLA,False,True,True,1997.0,23924.0,,0.7884,,,,,,,,,,0,0,0,0,,,,,,,,,0.0273,0.0288,0.3349,0.0588,0.3767,0.0085,0.1649,0.4688,0.5312
USoCal,False,False,True,1997.0,14782.0,,0.6861,,,,,,,,,,0,0,0,0,,,,,,,,,0.0971,0.0108,0.4445,0.0636,0.2328,0.0061,0.1452,0.5179,0.4821
Illinois,True,True,True,1997.0,26391.0,,0.7676,,,,,,,,,,0,0,0,0,,,,,,,,,0.011,0.0124,0.7187,0.0734,0.129,0.0021,0.0534,0.5316,0.4684
Northwestern,False,False,True,1997.0,7619.0,,0.9039,,,,,,,,,,0,0,0,0,,,,,,,,,0.0331,0.0323,0.6669,0.0592,0.1725,0.003,0.0331,0.4834,0.5166
Indiana,False,True,True,1997.0,25852.0,,0.6709,,,,,,,,,,0,0,0,0,,,,,,,,,0.0268,0.0106,0.8725,0.0386,0.0305,0.0025,0.0184,0.4571,0.5429
Iowa,False,True,True,1997.0,18913.0,,0.6187,,,,,,,,,,0,0,0,0,,,,,,,,,0.0217,0.0476,0.847,0.0231,0.0379,0.0037,0.019,0.4577,0.5423
Maryland,True,True,True,1997.0,23304.0,,0.6279,,,,,,,,,,0,0,0,0,,,,,,,,,0.0322,0.0311,0.6019,0.1467,0.1386,0.0024,0.0471,0.5171,0.4829
Michigan,False,True,True,1997.0,23939.0,,0.8229,,,,,,,,,,0,0,0,0,,,,,,,,,0.041,0.0432,0.6654,0.0879,0.1123,0.0071,0.0429,0.502,0.498
MSU,True,True,True,1997.0,33032.0,,0.6622,,,,,,,,,,0,0,0,0,,,,,,,,,0.0254,0.0047,0.8199,0.0838,0.0386,0.0062,0.0214,0.4725,0.5275
Minnesota,True,True,True,1997.0,26072.0,,0.5225,,,,,,,,,,0,0,0,0,,,,,,,,,0.023,0.0239,0.8046,0.0371,0.0844,0.0079,0.0191,0.4879,0.5121
Nebraska,True,True,False,1997.0,18179.0,,0.4669,,,,,,,,,,0,0,0,0,,,,,,,,,0.0295,0.0325,0.8795,0.0191,0.0202,0.0039,0.0152,0.5347,0.4653
Rutgers,True,True,True,1997.0,25883.0,,0.7334,,,,,,,,,,0,0,0,0,,,,,,,,,0.0182,0.0728,0.5669,0.0824,0.1749,0.0032,0.0816,0.4656,0.5344
Ohio State,True,True,True,1997.0,35418.0,,0.5663,,,,,,,,,,0,0,0,0,,,,,,,,,0.0444,0.0115,0.7943,0.076,0.0531,0.0039,0.0169,0.5206,0.4794
Oregon,False,True,True,1997.0,13481.0,,0.5935,,,,,,,,,,0,0,0,0,,,,,,,,,0.0823,0.0521,0.7429,0.0146,0.0662,0.0112,0.0306,0.481,0.519
Penn State,True,True,True,1997.0,32903.0,,0.8136,,,,,,,,,,0,0,0,0,,,,,,,,,0.0095,0.0,0.8773,0.0333,0.053,0.0013,0.0256,0.5408,0.4592
Washington,False,True,True,1997.0,25514.0,,0.6952,,,,,,,,,,0,0,0,0,,,,,,,,,0.0219,0.0793,0.5876,0.0328,0.2222,0.016,0.0403,0.488,0.512
Wisconsin,True,True,True,1997.0,27292.0,,0.7333,,,,,,,,,,0,0,0,0,,,,,,,,,0.0397,0.0,0.8718,0.0187,0.0441,0.0043,0.0214,0.4753,0.5247
Purdue,True,True,True,1997.0,29762.0,,0.646,,,,,,,,,,0,0,0,0,,,,,,,,,0.0405,0.0,0.86,0.0389,0.0345,0.0058,0.0203,0.5772,0.4228
UCLA,False,True,True,1998.0,24101.0,,0.7793,,,,,7018,,,,,0,0,0,7018,,,,,,,,,0.0259,0.0571,0.3276,0.0541,0.3729,0.0073,0.155,0.4557,0.5443
USoCal,False,False,True,1998.0,15218.0,,0.7033,,,,,13544,,,,,0,0,0,13544,,,,,,,,,0.0772,0.0122,0.4679,0.059,0.2346,0.0076,0.1416,0.5106,0.4894
Illinois,True,True,True,1998.0,27070.0,,0.7676,,,,,4746,,,,,0,0,0,4746,,,,,,,,,0.0116,0.014,0.7127,0.0743,0.1317,0.0023,0.0534,0.5277,0.4723
Northwestern,False,False,True,1998.0,7747.0,,0.9052,,,,,16912,,,,,0,0,0,16912,,,,,,,,,0.0323,0.0306,0.6666,0.0592,0.1718,0.0028,0.0367,0.4737,0.5263
Indiana,False,True,True,1998.0,26792.0,,0.6667,,,,,6691,,,,,0,0,0,6691,,,,,,,,,0.0283,0.0103,0.8709,0.0393,0.0293,0.0029,0.019,0.4598,0.5402
Iowa,False,True,True,1998.0,19337.0,,0.636,,,,,4953,,,,,0,0,0,4953,,,,,,,,,0.0184,0.0454,0.8525,0.0225,0.0361,0.004,0.0211,0.4514,0.5486
Maryland,True,True,True,1998.0,23651.0,,0.6398,,,,,5985,,,,,0,0,0,5985,,,,,,,,,0.0293,0.0378,0.5968,0.1437,0.1404,0.0024,0.0496,0.5111,0.4889
Michigan,False,True,True,1998.0,24015.0,,0.8246,,,,,12596,,,,,0,0,0,12596,,,,,,,,,0.0409,0.053,0.6581,0.0862,0.1126,0.0072,0.042,0.5015,0.4985
MSU,True,True,True,1998.0,33835.0,,0.6643,,,,,6087,,,,,0,0,0,6087,,,,,,,,,0.0239,0.0057,0.8158,0.0857,0.0398,0.006,0.0231,0.4711,0.5289
Minnesota,True,True,True,1998.0,27580.0,,0.4864,,,,,5458,,,,,0,0,0,5458,,,,,,,,,0.023,0.0247,0.8038,0.0384,0.0819,0.0071,0.021,0.4835,0.5165
Nebraska,True,True,False,1998.0,17923.0,,0.4652,,,,,3448,,,,,0,0,0,3448,,,,,,,,,0.0288,0.032,0.8812,0.0189,0.0201,0.0037,0.0153,0.5342,0.4658
Rutgers,True,True,True,1998.0,26483.0,,0.7322,,,,,2201,,,,,0,0,0,2201,,,,,,,,,0.0217,0.0733,0.5644,0.0813,0.177,0.0029,0.0794,0.466,0.534
Ohio State,True,True,True,1998.0,36042.0,,0.5639,,,,,6028,,,,,0,0,0,6028,,,,,,,,,0.0406,0.0114,0.7979,0.0768,0.0526,0.0034,0.0173,0.5156,0.4844
Oregon,False,True,True,1998.0,13150.0,,0.5674,,,,,6260,,,,,0,0,0,6260,,,,,,,,,0.0735,0.0617,0.7423,0.0138,0.0656,0.0125,0.0306,0.4731,0.5269
Penn State,True,True,True,1998.0,33614.0,,0.8034,,,,,7581,,,,,0,0,0,7581,,,,,,,,,0.0093,0.0,0.8696,0.0371,0.0543,0.0013,0.0284,0.5395,0.4605
Washington,False,True,True,1998.0,25021.0,,0.7096,,,,,6066,,,,,0,0,0,6066,,,,,,,,,0.0228,0.095,0.5712,0.0302,0.2253,0.0149,0.0406,0.4831,0.5169
Wisconsin,True,True,True,1998.0,27491.0,,0.7335,,,,,6809,,,,,0,0,0,6809,,,,,,,,,0.039,0.0,0.8722,0.0195,0.042,0.0048,0.0226,0.4712,0.5288
Purdue,True,True,True,1998.0,30873.0,,0.6532,,,,,5404,,,,,0,0,0,5404,,,,,,,,,0.0475,0.0,0.8574,0.0368,0.0327,0.0057,0.02,0.5799,0.4201
UCLA,False,True,True,1999.0,24667.0,,0.7857,,,,,7090,902,7692,1790,2552,12936,12936,12936,20026,,,,,,,,,0.0251,0.0675,0.3376,0.0473,0.3705,0.006,0.1461,0.4512,0.5488
USoCal,False,False,True,1999.0,15370.0,,0.6983,,,,,7666,650,7282,2214,4154,14300,14300,14300,21966,,,,,,,,,0.0703,0.0101,0.4778,0.0598,0.2349,0.008,0.1392,0.5033,0.4967
Illinois,True,True,True,1999.0,27492.0,,0.7535,,,,,4980,700,5560,2240,2240,10740,10740,10740,15720,,,,,,,,,0.013,0.0145,0.7127,0.0728,0.1308,0.0021,0.0541,0.5251,0.4749
Northwestern,False,False,True,1999.0,7767.0,,0.918,,,,,18001,1074,6972,1848,,9894,9894,9894,27895,,,,,,,,,0.0326,0.0438,0.6539,0.0612,0.1661,0.0024,0.04,0.4755,0.5245
Indiana,False,True,True,1999.0,27461.0,,0.687,,,,,5989,692,5492,2240,2768,11192,11192,11192,17181,,,,,,,,,0.0302,0.009,0.8692,0.0403,0.0294,0.0027,0.0192,0.4607,0.5393
Iowa,False,True,True,1999.0,18770.0,,0.6239,,,,,5182,820,4370,2830,2760,10780,10780,10780,15962,,,,,,,,,0.0125,0.0376,0.8674,0.0229,0.0336,0.0045,0.0216,0.4576,0.5424
Maryland,True,True,True,1999.0,24028.0,,0.6356,,,,,6200,702,6076,2396,2396,11570,11570,11570,17770,,,,,,,,,0.0278,0.0423,0.5962,0.1431,0.137,0.0027,0.0509,0.5141,0.4859
Michigan,False,True,True,1999.0,24493.0,,0.815,,,,,13034,661,5614,1864,1864,10003,10003,10003,23037,,,,,,,,,0.0443,0.0589,0.6525,0.0806,0.1173,0.006,0.0403,0.5008,0.4992
MSU,True,True,True,1999.0,33687.0,,0.64,,,,,6179,716,4334,1184,4018,10252,10252,10252,16431,,,,,,,,,0.0214,0.0058,0.8156,0.0874,0.0402,0.0058,0.0239,0.466,0.534
Minnesota,True,True,True,1999.0,26968.0,,0.5066,,,,,4057,730,4598,1894,1894,9116,9116,9116,13173,,,,,,,,,0.0247,0.0267,0.8022,0.0391,0.0795,0.0077,0.02,0.4768,0.5232
Nebraska,True,True,False,1999.0,17741.0,,0.4493,,,,,3737,660,4070,2320,2186,9236,9236,9236,12973,,,,,,,,,0.0259,0.032,0.8815,0.0197,0.0207,0.0039,0.0164,0.5295,0.4705
Rutgers,True,True,True,1999.0,27238.0,,0.7252,,,,,2336,700,6415,2068,4580,13763,13763,13763,16099,,,,,,,,,0.0258,0.0696,0.5662,0.0795,0.1807,0.0019,0.0762,0.4679,0.5321
Ohio State,True,True,True,1999.0,35883.0,,0.5595,,,,,6202,696,5446,2502,2394,11038,11038,11038,17240,,,,,,,,,0.041,0.0101,0.7949,0.0779,0.0543,0.0036,0.0182,0.5184,0.4816
Oregon,False,True,True,1999.0,13206.0,,0.5865,,,,,6368,675,5350,2175,,8200,8200,8200,14568,,,,,,,,,0.0722,0.0747,0.7333,0.0164,0.0628,0.0107,0.03,0.4711,0.5289
Penn State,True,True,True,1999.0,33209.0,,0.7981,,,,,8147,656,4698,2394,2844,10592,10592,10592,18739,,,,,,,,,0.011,0.0,0.8664,0.0407,0.0513,0.0014,0.0292,0.5365,0.4635
Washington,False,True,True,1999.0,25346.0,,0.7152,,,,,6355,777,5844,2439,2439,11499,11499,11499,17854,,,,,,,,,0.0233,0.1158,0.559,0.0273,0.2235,0.0128,0.0383,0.4797,0.5203
Wisconsin,True,True,True,1999.0,27869.0,,0.7385,,,,,7180,200,4341,2012,2012,8565,8565,8565,15745,,,,,,,,,0.0389,0.0,0.8693,0.0204,0.0431,0.005,0.0234,0.472,0.528
Purdue,True,True,True,1999.0,31428.0,,0.6505,,,,,5775,750,5500,1400,2370,10020,10020,10020,15795,,,,,,,,,0.0545,0.0,0.8549,0.0339,0.0315,0.0052,0.02,0.5775,0.4225
UCLA,False,True,True,2000.0,24996.5,,0.7983,,,3701,14315,6999,1116,8565,2250,3030,18662,29276,14961,21960,1.8911105106727912,,,,,,,,,,,,,,,0.45025,0.54975
USoCal,False,False,True,2000.0,15635.0,,0.7331,,,24123,24123,13875,650,7610,2212,4096,38691,38691,14568,28443,0.5751772167640841,,,,,,,,,,,,,,,0.50255,0.49744999999999995
Illinois,True,True,True,2000.0,27616.0,,0.7653,,,4994,12442,5208,740,5844,2282,2284,16144,23592,11150,16358,1.0428514217060472,,,,,,,,,,,,,,,0.5253,0.4747
Northwestern,False,False,True,2000.0,7962.5,,0.9206,,,24648,24648,19223,1128,7320,1890,,34986,34986,10338,29561,0.779901006166829,,,,,,,,,,,,,,,0.4723,0.5277000000000001
Indiana,False,True,True,2000.0,28293.0,,0.6542,,,,,7169,,,,,0,0,0,7169,,,,,,,,,,,,,,,,0.4658,0.5342
Iowa,False,True,True,2000.0,18884.5,,0.6312,,,3204,10966,4821,840,4597,2990,3000,14631,22393,11427,16248,1.5046816479400749,,,,,,,,,,,,,,,0.4561,0.5439
Maryland,True,True,True,2000.0,24273.0,,0.6373,,,5136,12668,6726,702,6468,2460,2460,17226,24758,12090,18816,1.3095794392523366,,,,,,,,,,,,,,,0.5146999999999999,0.4853
Michigan,False,True,True,2000.0,24398.5,,0.8187,,,6513,20323,11878,700,5780,1944,1944,16881,30691,10368,22246,1.8237371411024106,,,,,,,,,,,,,,,0.4979,0.5021
MSU,True,True,True,2000.0,30672.0,,0.6596,,,5170,12835,5876,752,4508,1186,1186,12802,20467,7632,13508,1.1365570599613153,,,,,,,,,,,,,,,0.4696,0.5304
